image,formula
val_000088.png,"C _ { 4 } = c ^ { A } ( x ) \wedge \Omega _ { A } + a ( x ) \, \hat { \Omega } _ { ( 4 ) } \ ."
val_000089.png,"\mathrm { S p i n } ( d ) \hookrightarrow \mathrm { S O } ( s _ { d } ) \; ,"
val_000090.png,\bar { \Delta } _ { \hbar } ^ { a } \bar { \Delta } _ { \hbar } ^ { b } + \bar { \Delta } _ { \hbar } ^ { b } \bar { \Delta } _ { \hbar } ^ { a } = 0
val_000091.png,- \frac { 1 } { 8 z ^ { 2 } } + V ^ { \prime } ( z ) = F _ { 1 } ( z ) F _ { 2 } ( z )
val_000092.png,\Phi _ { i } = x _ { i } ( t ) + \theta \psi _ { i } ( t ) + i \bar { \theta } \theta \dot { x } _ { i } ( t ) .
val_000093.png,"2 ( 1 - { \cal G } _ { 3 } ^ { 2 } ) ^ { 2 } \left\{ { \cal G } _ { 3 } , \tau \right\} = - \left( 3 + { \cal G } _ { 3 } ^ { 2 } \right) \left( \partial _ { \tau } { \cal G } _ { 3 } \right) ^ { 2 } ."
val_000094.png,"\alpha = \sum _ { i , j } \alpha _ { i j } p _ { i } d _ { f } p _ { j } + A ."
val_000095.png,"K _ { i } ^ { [ J ] } = \frac { 1 } { 2 } [ Y _ { i 0 0 } + Y _ { i J J } - 2 \epsilon _ { J , m } Y _ { i 0 J } ] \; \; \; ."
val_000096.png,c _ { A B } = \sqrt { g } \left( \begin{array} { l l } { f } & { 0 } \\ { 0 } & { 2 \gamma \Phi g _ { \mu \nu } } \\ \end{array} \right) .
val_000097.png,"\Gamma _ { 1 } [ \phi ] = S [ \phi ] - \frac { 1 } { 2 } \mathrm { T r \ l n } S _ { , i j } [ \phi ] \ ,"
val_000098.png,"A _ { i } = - \frac { 1 } { q } \frac { \epsilon _ { i j k } } { \left( - O ^ { 2 } \partial ^ { 2 } + m ^ { 2 } \right) } O \partial _ { j } I _ { k } \; ,"
val_000099.png,r ( 1 ; - t / 2 ) \sim c _ { 1 } { \frac { \operatorname { e x p } ( t ^ { 3 / 2 } / 3 ) } { t ^ { 3 / 4 } } }
val_000100.png,"\int _ { 0 } ^ { \infty } d y { \frac { y ^ { s - 1 } } { e ^ { y } - 1 } } = \Gamma ( s ) \zeta ( s ) ,"
val_000101.png,"\frac { d \theta } { d \lambda } = - \frac { 1 } { 2 } \theta ^ { 2 } - \sigma _ { a b } \sigma ^ { a b } + \omega _ { a b } \omega ^ { a b } - R _ { a b } N ^ { a } N ^ { b } \ ,"
val_000102.png,W ( \Phi ) = g ( a ^ { 2 } \Phi - \frac { 1 } { 3 } \Phi ^ { 3 } ) .
val_000103.png,"m \simeq a ~ \sqrt { | g H | } ~ \mathrm { e } ^ { - 2 \pi b / g } ,"
val_000104.png,"\tilde { \delta } _ { \perp } \omega _ { i j } = k _ { j } \tilde { \nabla } \Phi _ { i } - k _ { i } \tilde { \nabla } \Phi _ { j } \, ."
val_000105.png,G _ { a b } = \left( \begin{array} { l l } { e ^ { \varphi } g _ { \mu \nu } + G _ { \tau \tau } A _ { \mu } A _ { \nu } } & { G _ { \tau \tau } A _ { \nu } } \\ { G _ { \tau \tau } A _ { \nu } } & { G _ { \tau \tau } } \\ \end{array} \right)
val_000106.png,\frac { { \sf r } _ { 1 } } { l } = e ^ { - { \sf t } _ { 1 } / l } - e ^ { - { \sf t } _ { 0 } / l } .
val_000107.png,"\{ \chi _ { D } ^ { \prime \prime } , \chi _ { D } ^ { \prime \prime } \} = i \chi ^ { \prime \prime } ."
val_000108.png,"2 v _ { \bar { z } } \left( s + \alpha ( t , s ) , s ^ { - 1 } + \overline { { \alpha ( t , s ) } } \right) = \dot { \alpha } ( t , s ) ."
val_000109.png,"b _ { k } ^ { \mathrm { s } } = \epsilon _ { k i j } \partial _ { i } a _ { j } ^ { \mathrm { s } } = \epsilon _ { k i j } \partial _ { i } \left( \frac { 1 } { 2 i g } \mathrm { t r } \, \tau _ { 3 } \, \Omega _ { \mathrm { D } } \partial _ { j } \Omega _ { \mathrm { D } } ^ { \dagger } \right) ,"
val_000110.png,"[ f ^ { k } ( \vec { x } ) , f ^ { j } ( \vec { y } ) ] = - i m \epsilon ^ { k j } \delta ( \vec { x } - \vec { y } ) ,"
val_000111.png,d ^ { 3 } m _ { P l } ^ { 2 } \leq R _ { H u b b l e } \approx 1 0 ^ { 2 8 } c m .
val_000112.png,"\dot { X } _ { \mu } = \frac { P _ { \mu } } T ,"
val_000113.png,"( u - z ) ^ { s } \phi ( z ) \chi ( u ) = ( u - z ) ^ { s } \chi ( u ) \phi ( z ) ,"
val_000114.png,"\Gamma _ { A } ^ { t } = C ^ { - 1 } \Gamma _ { A } C \; , \; \; C ^ { \dagger } = C ^ { - 1 } \; , \; \; C ^ { t } = - C \; ;"
val_000115.png,\nabla ^ { 2 } f = \bar { \gamma } F ^ { 4 } f \; \;
val_000116.png,"A ( \omega ) = \int _ { 0 } ^ { \infty } d t \, e ^ { i \omega t } A ( t )"
val_000117.png,"\phi \rightarrow - \phi \ , \psi \rightarrow e ^ { i \alpha } \gamma ^ { 3 } \psi \ \ ,"
val_000118.png,"\operatorname* { l i m } _ { r \rightarrow \infty } \mathrm { \boldmath ~ \phi ~ } ( r , \theta , t ) = \mathrm { \boldmath ~ \phi ~ } _ { 0 } ( t ) ,"
val_000119.png,"L _ { \mu } = e ^ { \sqrt { 3 } y + \varphi } \nabla _ { \mu } \chi + \sigma _ { 2 } K _ { \mu } ,"
val_000120.png,"B ( { \bf x } ) = c \left( ( x _ { 1 } - x _ { 1 0 } ) ^ { 2 } + ( x _ { 2 } - x _ { 2 0 } ) ^ { 2 } \right) + c _ { 0 } ,"
val_000121.png,"m _ { 3 / 2 } \sim \frac { m _ { \mathrm { b r } } ^ { 2 } } { M _ { \mathrm { P l } } } \, ,"
val_000122.png,R _ { 0 0 } = \frac { 1 } { g ^ { 2 } } \left( \frac { f ^ { \prime \prime } } { f } - \frac { f ^ { \prime } } { f } \frac { g ^ { \prime } } { g } + 2 \frac { f ^ { \prime } } { f } \frac { h ^ { \prime } } { h } \right)
val_000123.png,\stackrel { ( 1 ) } { \omega } _ { \Delta } = \mu _ { a _ { 1 } \cdots a _ { \Delta + 1 } } \eta _ { 2 } ^ { a _ { 1 } } \cdots \eta _ { 2 } ^ { a _ { \Delta + 1 } } .
val_000124.png,R = { \frac { P ^ { 2 } t ^ { 2 } } { B } } { \frac { \partial } { \partial \kappa } } \left( { \frac { B } { P ^ { 2 } t ^ { 2 } } } { \frac { \partial } { \partial \kappa } } ( P ^ { 2 } t ^ { 2 } ) \right) .
val_000125.png,"\phi \left( x ^ { 0 } + \tau , { \bf x } \right) = U \left( \phi , \pi \right) ^ { - 1 } \phi \left( x ^ { 0 } , { \bf x } \right) U \left( \phi , \pi \right) ,"
val_000126.png,"[ L ( 0 ) , Y _ { Q ( z ) } ^ { \prime } ( v , x ) ] = \left( x \frac { d } { d x } + h \right) Y _ { Q ( z ) } ^ { \prime } ( v , x ) ,"
val_000127.png,\mathrm { I } : 2 > E > 1 \quad \mathrm { a n d } \quad \mathrm { I I } : - 2 < E < - 1 ;
val_000128.png,"\left\langle \prod _ { a = 1 } ^ { N } \left[ \psi _ { 1 } ^ { ( a ) } ( - L , 0 ) \; U \Big ( { \cal C } ( L ) \Big ) \; \overline { { \psi } } _ { 1 } ^ { ( a ) } ( L , 0 ) \right] \right\rangle _ { 0 } ^ { \theta }"
val_000129.png,\frac { d ( \xi p ) } { d \xi } = - \varepsilon .
val_000130.png,M _ { K ^ { * } } ^ { 2 } - M _ { \rho } ^ { 2 } = \frac { 1 } { 2 \alpha ^ { \prime } } = 0 . 3 \mathrm { G e V } ^ { 2 } .
val_000131.png,"\Bigr [ P _ { - } \phi \Bigr ] _ { \partial M } = 0 \; ,"
val_000132.png,x _ { n } = \frac { s _ { N - n } x _ { M } } { s _ { N - M } } + \frac { s _ { M - n } x _ { N } } { s _ { M - N } } - T
val_000133.png,"\operatorname { d i m } R = { \frac { d _ { R } N ^ { n } } { n ! } } \prod _ { v } \left( 1 + { \frac { \Delta _ { v } } { N } } \right) ,"
val_000134.png,"\phi ( x ) = \sum _ { n = 1 } ^ { \infty } a _ { n } ( x ^ { + } , x ^ { \bot } ) \operatorname { s i n } \{ \frac { n \pi } { 2 L } ( x ^ { - } + L ) \} \quad ."
val_000135.png,"C _ { \alpha \beta } ^ { \gamma } = \epsilon _ { \alpha \beta \mu } m ^ { \mu \gamma } + \delta _ { \beta } ^ { \gamma } a _ { \alpha } - \delta _ { \alpha } ^ { \gamma } a _ { \beta } ,"
val_000136.png,"[ p _ { a } , p _ { b } ] = i f _ { a b } ^ { ~ ~ c } \, \, p _ { c } ~ , ~ ~ [ p _ { a } , g _ { M N } ] = ( g t _ { a } ) _ { M N } ~ ."
val_000137.png,"\fbox { \left[ \delta _ { \xi } , \delta _ { \chi } \right] V = 2 \xi ^ { a } \chi ^ { b } \left( \Gamma ^ { M } \right) _ { a b } \partial _ { M } V \ . }"
val_000138.png,"\gamma _ { m n p } \, \xi = \psi _ { m n p } \, \xi ,"
val_000139.png,"\Psi _ { m } \rightarrow b \Psi _ { m } , \hspace { 3 m m } e ^ { \frac { 4 \sqrt { d - 2 } } { d - 3 } \phi } \rightarrow b ^ { - 2 } e ^ { \frac { 4 \sqrt { d - 2 } } { d - 3 } \phi } ,"
val_000140.png,"H \Psi = E \Psi \ , \ H = - \frac { 1 } { 2 } \triangle + V ( x _ { 1 } , , \ldots , x _ { n } ) \ ,"
val_000141.png,"\sum _ { i = 1 } ^ { n } \mathrm { c o d i m } \, \gamma _ { i } = \mathrm { d i m } \, M + 1 ."
val_000142.png,"\varepsilon _ { \mu \nu \rho } \varepsilon ^ { \rho \sigma \tau } = \delta _ { \mu } ^ { \sigma } \delta _ { \nu } ^ { \tau } - \delta _ { \nu } ^ { \sigma } \delta _ { \mu } ^ { \tau } \; ,"
val_000143.png,"\theta = d \alpha + \alpha ^ { 2 } ,"
val_000144.png,"{ \lbrace P ^ { \mu } ( \sigma ) , X ^ { \nu } ( \sigma ^ { \prime } ) \rbrace } = \delta ( \sigma - \sigma ^ { \prime } ) G ^ { \mu \nu }"
val_000145.png,"\int \mathrm { d } ^ { 3 } { \bf r } \; \left| \, \psi _ { j } \left( { \bf r } \right) \right| ^ { 2 } = \frac { 1 } { 2 \vert E _ { j } \vert } \, , \quad j = 1 , \ldots , N \, ,"
val_000146.png,"P = { \frac { 2 } { 3 } } { \frac { ( \ddot { \bf d } ) ^ { 2 } } { c ^ { 3 } } } ,"
val_000147.png,\Phi ( t ) = ( 2 - D ) \mathrm { l n } \frac { 2 Q t } { D - 2 }
val_000148.png,"\zeta ( x , 0 ) = \frac { 1 } { 3 2 \pi ^ { 2 } } \, \frac { \partial ^ { 2 } \Omega ( x , x , \tau ) } { \partial \tau ^ { 2 } } \, \vert _ { \tau = 0 }"
val_000149.png,"\left[ U _ { 0 } ^ { - } , U _ { 0 } ^ { + } \right] = \left[ X _ { 0 } ^ { - } , X _ { 0 } ^ { + } \right] = 1 ."
val_000150.png,"g = ( g _ { m n } ) = \left( \begin{array} { l r } { a } & { - q c ^ { * } } \\ { c } & { a ^ { * } } \\ \end{array} \right) ,"
val_000151.png,"\left| \vec { \chi } _ { \mu } \right| \equiv \left( \sqrt { \chi _ { \mu } ^ { 1 } \chi _ { \mu } ^ { 1 } } , \ldots , \sqrt { \chi _ { \mu } ^ { N - 1 } \chi _ { \mu } ^ { N - 1 } } \right) ,"
val_000152.png,( \partial X ^ { i } + M _ { j } ^ { i } \bar { \partial } X ^ { j } ) | B \rangle = 0
val_000153.png,"\alpha _ { n + 1 - i , l ^ { \prime } } \left( \overline { { a } } , b , c \right) = \alpha _ { i , l ^ { \prime } } \left( \overline { { d } } , c , b \right) ."
val_000154.png,"e _ { a } ^ { \mu } = \frac { 1 } { 3 ! } \hat { \epsilon } _ { a b c d } \epsilon ^ { \mu \nu \rho \sigma } e _ { \nu } ^ { b } e _ { \rho } ^ { c } e _ { \sigma } ^ { d } { \tt e } ^ { - 1 } ~ ,"
val_000155.png,\epsilon ^ { I J } \bar { q } _ { I } ^ { + } q _ { J } ^ { + } + \lambda ^ { + + } = 0
val_000156.png,"\widetilde { f } ( k _ { 1 } , k _ { 2 } ) = 2 \pi | \theta ^ { 1 2 } | \"
val_000157.png,k _ { 0 } ^ { u } \frac { \partial } { \partial u } = \nu _ { 0 } \frac { \partial } { \partial a } \ .
val_000158.png,N ^ { t } \cdot M \ge 0 \qquad \mathrm { f o r ~ a l l ~ e n t r i e s . }
val_000159.png,B = \partial W \cap \{ t = 0 \} .
